"","Dataset","Treatment","Comparisons","MantelR","SimPval","HypothesisTest","Std.obs","Expectation","Variance"
"82","Samples_009_herbivory","BIOTIC","EC","0.742208239996333","1e-04","greater","4.3888933292643","0.0036171993220775","0.0283203110682336"
"83","Samples_009_herbivory","BIOTIC","CS","0.221859010027003","0.0866","greater","1.47539586766372","-3.61422582507791e-05","0.0226192657590921"
"84","Samples_009_herbivory","BIOTIC","ES","0.182166190156063","0.1229","greater","1.19923641012068","0.00224076996085269","0.0225099971402289"
"85","Samples_012","BIOTIC","EC","-0.0709833021641487","0.4252","greater","-0.16981650337472","-0.0070193897453818","0.141876429842941"
"86","Samples_012","BIOTIC","CS","-0.105330525268135","0.622","greater","-0.46974040775337","0.00218963212506993","0.052391875094414"
"87","Samples_012","BIOTIC","ES","-0.44647202121509","0.9698","greater","-1.64052579331299","0.00111322070238252","0.0744364050512176"
"88","Samples_014_A","BIOTIC","EC","0.742870200774375","1e-04","greater","3.77946427103168","-0.00127580915733449","0.0387664316034119"
"89","Samples_014_A","BIOTIC","CS","0.0240422622242772","0.3852","greater","0.272607835515844","-0.000787057737340595","0.00829569890898877"
"90","Samples_014_A","BIOTIC","ES","0.0547083023236674","0.2718","greater","0.572389577916022","-0.000691110781310002","0.0093675688279538"
"91","Samples_014_B","BIOTIC","EC","0.621153728615559","1e-04","greater","7.14121030674747","-0.0012751229266896","0.00759688906347135"
"92","Samples_014_B","BIOTIC","CS","-0.137931887879393","0.8894","greater","-1.17532630105251","0.00199105910472306","0.0141729735747448"
"93","Samples_014_B","BIOTIC","ES","-0.0736538826952521","0.7933","greater","-0.846218457550825","0.000470027769351014","0.00767276077728523"
"94","Samples_014_C","BIOTIC","EC","0.595808298031479","1e-04","greater","4.80103836288911","0.00255648496143062","0.0152689015844047"
"95","Samples_014_C","BIOTIC","CS","-0.0454021588505645","0.6465","greater","-0.495772451623754","-0.000886409197173184","0.00806236769883726"
"96","Samples_014_C","BIOTIC","ES","0.112943165141687","0.1107","greater","1.24168069497155","0.000588319710275089","0.00818773456986071"
"97","Samples_015","BIOTIC","EC","0.141230807269485","0.2294","greater","0.787690965137548","-0.00125967989538505","0.0327235200532218"
"98","Samples_015","BIOTIC","CS","0.118175572092263","0.2667","greater","0.552792864794766","-0.0029974304775877","0.0480492796927985"
"99","Samples_015","BIOTIC","ES","0.521416549982143","0.0035","greater","3.03904585896086","0.00331213415078869","0.0290643142411034"
"100","Samples_016_2","BIOTIC","EC","0.776200581747438","1e-04","greater","6.81907706189992","-0.00039843142886885","0.0129700745365597"
"101","Samples_016_2","BIOTIC","CS","0.261271368197167","0.0379","greater","2.01311437113244","-0.00215428223739816","0.017122975045952"
"102","Samples_016_2","BIOTIC","ES","0.161921290024098","0.1201","greater","1.35282071070588","0.000316422664883029","0.0142701450467103"
"103","Samples_018","BIOTIC","EC","0.372477766865214","0.0049","greater","3.29867002399623","0.00137899218337586","0.0126561406595054"
"104","Samples_018","BIOTIC","CS","-0.0837384538967232","0.7079","greater","-0.609472619334199","0.000810318107132498","0.0192444812659065"
"105","Samples_018","BIOTIC","ES","0.051353316281778","0.2908","greater","0.439723299953895","0.00152659544608453","0.0128400186977409"
"106","Samples_019","BIOTIC","EC","0.909259658504687","0.0017","greater","6.8331676100724","-0.00119863872138803","0.0177531723366479"
"107","Samples_019","BIOTIC","CS","-0.0727427094514357","0.5763","greater","-0.432757963791991","-0.00120615345012015","0.027325361654702"
"108","Samples_019","BIOTIC","ES","-0.0478699998540503","0.5739","greater","-0.36822257395674","0.00193150441044723","0.018292122571761"
"109","Samples_020","BIOTIC","EC","0.516021292798145","0.0023","greater","3.28724494839426","-0.000574340217475102","0.0246966091076646"
"110","Samples_020","BIOTIC","CS","0.185008981536751","0.1514","greater","0.966245812741326","0.00125469861508703","0.036165934457919"
"111","Samples_020","BIOTIC","ES","0.124344701348985","0.2075","greater","0.799093169980215","0.00107924688660053","0.0237951214137461"
"112","Samples_023","BIOTIC","EC","0.503737703626795","1e-04","greater","7.07858392593624","-0.000108259631234749","0.00506643873845237"
"113","Samples_023","BIOTIC","CS","0.284408129843501","0.0044","greater","3.09705768476043","-0.0016256797793953","0.0085297470419051"
"114","Samples_023","BIOTIC","ES","0.353076260490571","1e-04","greater","4.60449837897921","-0.00130187479269665","0.00592337445840917"
"115","Samples_024","BIOTIC","EC","0.631500870709433","1e-04","greater","5.15247211532059","0.00151735172629643","0.0149495140550278"
"116","Samples_024","BIOTIC","CS","0.279468937827403","0.0289","greater","2.04171580766743","-0.00171494127004946","0.0189666335538899"
"117","Samples_024","BIOTIC","ES","0.221282981482624","0.0403","greater","1.96000531214624","-0.000692153594314236","0.0128260863980114"
"118","Samples_025","BIOTIC","EC","0.64114160318296","1e-04","greater","6.75463206513989","6.79035587347083e-05","0.00900767120908118"
"119","Samples_025","BIOTIC","CS","0.253451935469651","0.0074","greater","2.77465597123552","-0.000447824659910352","0.00837348594418381"
"120","Samples_025","BIOTIC","ES","0.281516807525712","0.0022","greater","3.80602956600741","-0.0015365005375052","0.00553085349144852"
"121","Samples_STUDY006","CHEMICAL","EC","0.0222820165704556","0.3162","greater","0.0719620443016168","-0.0025571398639809","0.119142497766158"
"122","Samples_STUDY006","CHEMICAL","CS","-0.0242297360316971","0.4745","greater","-0.0546355375677757","-0.00524360619648792","0.120759818557793"
"123","Samples_STUDY006","CHEMICAL","ES","0.498988960088596","0.1368","greater","1.20549860936471","0.00454333026800128","0.168230082530851"
"124","Samples_009_azacytidine","CHEMICAL","EC","0.752518034191972","0.0029","greater","3.61448834884954","-0.00140774653884101","0.043507440056205"
"125","Samples_009_azacytidine","CHEMICAL","CS","0.137232044172428","0.1986","greater","0.9065962932541","-0.000241786615432734","0.0229938763340282"
"126","Samples_009_azacytidine","CHEMICAL","ES","0.0604987791071848","0.3076","greater","0.409750226988302","-0.000985289304743122","0.022515769218452"
"127","Samples_009_herbivory","CHEMICAL","EC","0.742208239996333","2e-04","greater","4.40542071348819","0.000484901261389633","0.0283471309672811"
"128","Samples_009_herbivory","CHEMICAL","CS","0.113254980139426","0.2434","greater","0.578343137005137","0.00303124402853796","0.0363227801984874"
"129","Samples_009_herbivory","CHEMICAL","ES","0.13381739429441","0.2186","greater","0.73473050038899","0.000992935417200783","0.0326813488643821"
"130","Samples_011","CHEMICAL","EC","0.534509540540599","1e-04","greater","9.67437770106543","-0.000316891550929873","0.00305618505602474"
"131","Samples_011","CHEMICAL","CS","0.125226759565893","0.0083","greater","2.86734275299917","0.00108486087248809","0.00187446590953529"
"132","Samples_011","CHEMICAL","ES","0.292802258402894","1e-04","greater","8.16324462898116","-0.000482242735053084","0.0012907811168166"
"133","Samples_012","CHEMICAL","EC","-0.0709833021641487","0.4389","greater","-0.19514536348842","0.0033703350996334","0.145173705557153"
"134","Samples_012","CHEMICAL","CS","0.163333208039861","0.1922","greater","0.972708672239536","0.000144984577645724","0.0281456999371028"
"135","Samples_012","CHEMICAL","ES","0.277771731510232","0.1993","greater","1.13020398668631","0.00162145163204739","0.0597004088906247"
"136","Samples_017","CHEMICAL","EC","0.753006694106192","0.0011","greater","2.8333296976454","0.000514851642888069","0.0705357624291075"
"137","Samples_017","CHEMICAL","CS","-0.18412498117671","0.7683","greater","-0.765326236170695","0.000453327707662951","0.0581658557593522"
"138","Samples_017","CHEMICAL","ES","-0.335311100121933","0.978","greater","-1.53445716375523","-0.000571681864074338","0.0475887366818955"
"139","Samples_021","CHEMICAL","EC","0.951717763506176","0.0125","greater","4.05749777363991","0.00125862411522781","0.0548719408665585"
"140","Samples_021","CHEMICAL","CS","-0.00745163594356552","0.5151","greater","-0.0509650648072653","0.00130446032992915","0.0295172500536173"
"141","Samples_021","CHEMICAL","ES","-0.00670083791851305","0.5404","greater","-0.0589239355994997","0.00350020826249293","0.0299713244402686"
