"","Df","R.squared","Adj.R.squared","Testable","Component","Pvalue","STudy","TREATMENT"
"[b]17",0,NA,0.0179578082758634,FALSE,"[E:C]","NA","Samples_017","CONTROL"
"[c] = X2|X117",1,NA,0.076856680880431,TRUE,"[C|E]","0.0125987401259874","Samples_017","CONTROL"
"[d] = Residuals17",NA,NA,0.902254544200327,FALSE,"Residuals","NA","Samples_017","CONTROL"
"[a+b] = X118",1,0.0127896095234384,0.00687817005950697,TRUE,"[E|C+E:C]","0.144085591440856","Samples_018","CONTROL"
"[b+c] = X218",1,0.0292917373480278,0.0234791130207704,TRUE,"[E:C+C|E]","0.0264973502649735","Samples_018","CONTROL"
"[a+b+c] = X1+X218",2,0.0303439127683306,0.0186613093077082,TRUE,"[E|C+E:C+C|E]","0.0784921507849215","Samples_018","CONTROL"
"[a] = X1|X218",1,NA,-0.00481780371306229,TRUE,"[E|C]","0.675932406759324","Samples_018","CONTROL"
"[b]18",0,NA,0.0116959737725693,FALSE,"[E:C]","NA","Samples_018","CONTROL"
"[c] = X2|X118",1,NA,0.0117831392482012,TRUE,"[C|E]","0.0840915908409159","Samples_018","CONTROL"
"[d] = Residuals18",NA,NA,0.981338690692292,FALSE,"Residuals","NA","Samples_018","CONTROL"
"[a+b] = X119",1,0.17978351734314,0.172890941858629,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_019","CONTROL"
"[b+c] = X219",1,0.199254590700724,0.192525637681402,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_019","CONTROL"
"[a+b+c] = X1+X219",2,0.209208320845251,0.195805072046018,TRUE,"[E|C+E:C+C|E]","9.99900009999e-05","Samples_019","CONTROL"
"[a] = X1|X219",1,NA,0.00327943436461597,TRUE,"[E|C]","0.225177482251775","Samples_019","CONTROL"
"[b]19",0,NA,0.169611507494013,FALSE,"[E:C]","NA","Samples_019","CONTROL"
"[c] = X2|X119",1,NA,0.0229141301873896,TRUE,"[C|E]","0.0383961603839616","Samples_019","CONTROL"
"[d] = Residuals19",NA,NA,0.804194927953982,FALSE,"Residuals","NA","Samples_019","CONTROL"
"[a+b] = X120",1,0.0820229025674597,0.0672168203508058,TRUE,"[E|C+E:C]","0.0210978902109789","Samples_020","CONTROL"
"[b+c] = X220",1,0.134871245456081,0.120917555866663,TRUE,"[E:C+C|E]","0.0030996900309969","Samples_020","CONTROL"
"[a+b+c] = X1+X220",2,0.137895256351741,0.109629527051798,TRUE,"[E|C+E:C+C|E]","0.0110988901109889","Samples_020","CONTROL"
"[a] = X1|X220",1,NA,-0.0112880288148649,TRUE,"[E|C]","0.643735626437356","Samples_020","CONTROL"
"[b]20",0,NA,0.0785048491656707,FALSE,"[E:C]","NA","Samples_020","CONTROL"
"[c] = X2|X120",1,NA,0.0424127067009924,TRUE,"[C|E]","0.0521947805219478","Samples_020","CONTROL"
"[d] = Residuals20",NA,NA,0.890370472948202,FALSE,"Residuals","NA","Samples_020","CONTROL"
"[a+b] = X121",1,0.205588815668115,0.204974896669404,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_022","CONTROL"
"[b+c] = X221",1,0.134100029877181,0.133430864521599,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_022","CONTROL"
"[a+b+c] = X1+X221",2,0.213999051149662,0.212783272419809,TRUE,"[E|C+E:C+C|E]","9.99900009999e-05","Samples_022","CONTROL"
"[a] = X1|X221",1,NA,0.0793524078982101,TRUE,"[E|C]","9.99900009999e-05","Samples_022","CONTROL"
"[b]21",0,NA,0.125622488771194,FALSE,"[E:C]","NA","Samples_022","CONTROL"
"[c] = X2|X121",1,NA,0.00780837575040449,TRUE,"[C|E]","0.0005999400059994","Samples_022","CONTROL"
"[d] = Residuals21",NA,NA,0.787216727580191,FALSE,"Residuals","NA","Samples_022","CONTROL"
"[a+b] = X122",1,0.0791203113811781,0.0773729115925276,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_023","CONTROL"
"[b+c] = X222",1,0.0257900222738632,0.0239414264907015,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_023","CONTROL"
"[a+b+c] = X1+X222",2,0.0791211665445522,0.0756197261131626,TRUE,"[E|C+E:C+C|E]","9.99900009999e-05","Samples_023","CONTROL"
"[a] = X1|X222",1,NA,0.0516782996224611,TRUE,"[E|C]","9.99900009999e-05","Samples_023","CONTROL"
"[b]22",0,NA,0.0256946119700665,FALSE,"[E:C]","NA","Samples_023","CONTROL"
"[c] = X2|X122",1,NA,-0.00175318547936498,TRUE,"[C|E]","0.981601839816018","Samples_023","CONTROL"
"[d] = Residuals22",NA,NA,0.924380273886837,FALSE,"Residuals","NA","Samples_023","CONTROL"
"[a+b] = X123",1,0.0428757539834991,0.0413394389818675,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_024","CONTROL"
"[b+c] = X223",1,0.094051224512437,0.0925970531232113,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_024","CONTROL"
"[a+b+c] = X1+X223",2,0.0940907769438976,0.0911778855514341,TRUE,"[E|C+E:C+C|E]","9.99900009999e-05","Samples_024","CONTROL"
"[a] = X1|X223",1,NA,-0.00141916757177718,TRUE,"[E|C]","0.87021297870213","Samples_024","CONTROL"
"[b]23",0,NA,0.0427586065536447,FALSE,"[E:C]","NA","Samples_024","CONTROL"
"[c] = X2|X123",1,NA,0.0498384465695666,TRUE,"[C|E]","9.99900009999e-05","Samples_024","CONTROL"
"[d] = Residuals23",NA,NA,0.908822114448566,FALSE,"Residuals","NA","Samples_024","CONTROL"
"[a+b] = X124",1,0.134786052742115,0.13339726630992,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_025","CONTROL"
"[b+c] = X224",1,0.124465780710334,0.123060428833465,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_025","CONTROL"
"[a+b+c] = X1+X224",2,0.155599795951056,0.152884682754757,TRUE,"[E|C+E:C+C|E]","9.99900009999e-05","Samples_025","CONTROL"
"[a] = X1|X224",1,NA,0.0298242539212918,TRUE,"[E|C]","9.99900009999e-05","Samples_025","CONTROL"
"[b]24",0,NA,0.103573012388628,FALSE,"[E:C]","NA","Samples_025","CONTROL"
"[c] = X2|X124",1,NA,0.0194874164448371,TRUE,"[C|E]","0.0001999800019998","Samples_025","CONTROL"
"[d] = Residuals24",NA,NA,0.847115317245243,FALSE,"Residuals","NA","Samples_025","CONTROL"
"[a+b] = X125",1,0.0219755940181173,0.00620100682486113,TRUE,"[E|C+E:C]","0.239276072392761","Samples_STUDY001","BIOTIC"
"[b+c] = X225",1,0.0161346808845987,0.000265885414995504,TRUE,"[E:C+C|E]","0.318768123187681","Samples_STUDY001","BIOTIC"
"[a+b+c] = X1+X225",2,0.0240756797709234,-0.00792183892511189,TRUE,"[E|C+E:C+C|E]","0.46995300469953","Samples_STUDY001","BIOTIC"
"[a] = X1|X225",1,NA,-0.00818772434010739,TRUE,"[E|C]","0.482251774822518","Samples_STUDY001","BIOTIC"
"[b]25",0,NA,0.0143887311649685,FALSE,"[E:C]","NA","Samples_STUDY001","BIOTIC"
"[c] = X2|X125",1,NA,-0.014122845749973,TRUE,"[C|E]","0.72002799720028","Samples_STUDY001","BIOTIC"
"[d] = Residuals25",NA,NA,1.00792183892511,FALSE,"Residuals","NA","Samples_STUDY001","BIOTIC"
"[a+b] = X126",1,0.149795405558728,0.141119848472592,TRUE,"[E|C+E:C]","0.0001999800019998","Samples_002","BIOTIC"
"[b+c] = X226",1,0.277654189908127,0.270283314294945,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_002","BIOTIC"
"[a+b+c] = X1+X226",2,0.283960653541858,0.269196955676742,TRUE,"[E|C+E:C+C|E]","9.99900009999e-05","Samples_002","BIOTIC"
"[a] = X1|X226",1,NA,-0.00108635861820272,TRUE,"[E|C]","0.34986501349865","Samples_002","BIOTIC"
"[b]26",0,NA,0.142206207090795,FALSE,"[E:C]","NA","Samples_002","BIOTIC"
"[c] = X2|X126",1,NA,0.12807710720415,TRUE,"[C|E]","9.99900009999e-05","Samples_002","BIOTIC"
"[d] = Residuals26",NA,NA,0.730803044323258,FALSE,"Residuals","NA","Samples_002","BIOTIC"
"[a+b] = X127",1,0.159484381193775,0.152421224733218,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_009_herbivory","BIOTIC"
"[b+c] = X227",1,0.154391256710273,0.147285300884309,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_009_herbivory","BIOTIC"
"[a+b+c] = X1+X227",2,0.174205427915791,0.160208909744872,TRUE,"[E|C+E:C+C|E]","0.0001999800019998","Samples_009_herbivory","BIOTIC"
"[a] = X1|X227",1,NA,0.0129236088605623,TRUE,"[E|C]","0.0943905609439056","Samples_009_herbivory","BIOTIC"
"[b]27",0,NA,0.139497615872656,FALSE,"[E:C]","NA","Samples_009_herbivory","BIOTIC"
"[c] = X2|X127",1,NA,0.00778768501165339,TRUE,"[C|E]","0.148185181481852","Samples_009_herbivory","BIOTIC"
"[d] = Residuals27",NA,NA,0.839791090255128,FALSE,"Residuals","NA","Samples_009_herbivory","BIOTIC"
"[a+b] = X128",1,0.00606462983191589,-0.03714995147974,TRUE,"[E|C+E:C]","0.712628737126287","Samples_012","BIOTIC"
"[b+c] = X228",1,0.125083200125462,0.0870433392613515,TRUE,"[E:C+C|E]","0.0878912108789121","Samples_012","BIOTIC"
"[a+b+c] = X1+X228",2,0.127879717530685,0.0485960554880205,TRUE,"[E|C+E:C+C|E]","0.221677832216778","Samples_012","BIOTIC"
"[a] = X1|X228",1,NA,-0.0384472837733311,TRUE,"[E|C]","0.798020197980202","Samples_012","BIOTIC"
"[b]28",0,NA,0.00129733229359108,FALSE,"[E:C]","NA","Samples_012","BIOTIC"
"[c] = X2|X128",1,NA,0.0857460069677605,TRUE,"[C|E]","0.0898910108989101","Samples_012","BIOTIC"
"[d] = Residuals28",NA,NA,0.95140394451198,FALSE,"Residuals","NA","Samples_012","BIOTIC"
"[a+b] = X129",1,0.0617514877793363,0.0561332332151407,TRUE,"[E|C+E:C]","0.0011998800119988","Samples_014_A","BIOTIC"
"[b+c] = X229",1,0.0587644526602944,0.0531283116582603,TRUE,"[E:C+C|E]","0.0017998200179982","Samples_014_A","BIOTIC"
"[a+b+c] = X1+X229",2,0.0678976149485884,0.0566674657311015,TRUE,"[E|C+E:C+C|E]","0.0028997100289971","Samples_014_A","BIOTIC"
"[a] = X1|X229",1,NA,0.00353915407284122,TRUE,"[E|C]","0.211678832116788","Samples_014_A","BIOTIC"
"[b]29",0,NA,0.0525940791422995,FALSE,"[E:C]","NA","Samples_014_A","BIOTIC"
"[c] = X2|X129",1,NA,0.000534232515960742,TRUE,"[C|E]","0.292270772922708","Samples_014_A","BIOTIC"
"[d] = Residuals29",NA,NA,0.943332534268899,FALSE,"Residuals","NA","Samples_014_A","BIOTIC"
"[a+b] = X130",1,0.00551286907967011,0.00242439972898589,TRUE,"[E|C+E:C]","0.183781621837816","Samples_014_B","BIOTIC"
"[b+c] = X230",1,2.56866327592287e-05,-0.00307982365720116,TRUE,"[E:C+C|E]","0.932806719328067","Samples_014_B","BIOTIC"
"[a+b+c] = X1+X230",2,0.00931098459614823,0.00313846736621759,TRUE,"[E|C+E:C+C|E]","0.217478252174783","Samples_014_B","BIOTIC"
"[a] = X1|X230",1,NA,0.00621829102341875,TRUE,"[E|C]","0.0841915808419158","Samples_014_B","BIOTIC"
"[b]30",0,NA,-0.00379389129443286,FALSE,"[E:C]","NA","Samples_014_B","BIOTIC"
"[c] = X2|X130",1,NA,0.000714067637231697,TRUE,"[C|E]","0.268073192680732","Samples_014_B","BIOTIC"
"[d] = Residuals30",NA,NA,0.996861532633782,FALSE,"Residuals","NA","Samples_014_B","BIOTIC"
"[a+b] = X131",1,0.0683116201736037,0.0650653191985988,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_014_C","BIOTIC"
"[b+c] = X231",1,0.0132198952897429,0.00978163708517743,TRUE,"[E:C+C|E]","0.0534946505349465","Samples_014_C","BIOTIC"
