"","Df","R.squared","Adj.R.squared","Testable","Component","Pvalue","STudy"
"[a] = X1|X218",1,NA,0.0329948814052492,TRUE,"[E|C]","0.015","Samples_016_1"
"[b]18",0,NA,0.0676689319782403,FALSE,"[E:C]","NA","Samples_016_1"
"[c] = X2|X118",1,NA,-0.00288057982423118,TRUE,"[C|E]","0.46","Samples_016_1"
"[d] = Residuals18",NA,NA,0.902216766440742,FALSE,"Residuals","NA","Samples_016_1"
"[a+b] = X119",1,0.208954235103855,0.204217434116453,TRUE,"[E|C+E:C]","0.001","Samples_016_2"
"[b+c] = X219",1,0.161966805449667,0.156948642608048,TRUE,"[E:C+C|E]","0.001","Samples_016_2"
"[a+b+c] = X1+X219",2,0.211956480234609,0.202461979996472,TRUE,"[E|C+E:C+C|E]","0.001","Samples_016_2"
"[a] = X1|X219",1,NA,0.0455133373884232,TRUE,"[E|C]","0.002","Samples_016_2"
"[b]19",0,NA,0.15870409672803,FALSE,"[E:C]","NA","Samples_016_2"
"[c] = X2|X119",1,NA,-0.00175545411998113,TRUE,"[C|E]","0.426","Samples_016_2"
"[d] = Residuals19",NA,NA,0.797538020003528,FALSE,"Residuals","NA","Samples_016_2"
"[a+b] = X120",1,0.0430847118711612,0.0276505943206962,TRUE,"[E|C+E:C]","0.104","Samples_017"
"[b+c] = X220",1,0.103521903942227,0.0890625798122627,TRUE,"[E:C+C|E]","0.014","Samples_017"
"[a+b+c] = X1+X220",2,0.111743304713458,0.0826201343761943,TRUE,"[E|C+E:C+C|E]","0.027","Samples_017"
"[a] = X1|X220",1,NA,-0.00644244543606842,TRUE,"[E|C]","0.447","Samples_017"
"[b]20",0,NA,0.0340930397567646,FALSE,"[E:C]","NA","Samples_017"
"[c] = X2|X120",1,NA,0.0549695400554981,TRUE,"[C|E]","0.033","Samples_017"
"[d] = Residuals20",NA,NA,0.917379865623806,FALSE,"Residuals","NA","Samples_017"
"[a+b] = X121",1,0.103615349406635,0.098247776648591,TRUE,"[E|C+E:C]","0.001","Samples_018"
"[b+c] = X221",1,0.0619896403379414,0.056372811836971,TRUE,"[E:C+C|E]","0.001","Samples_018"
"[a+b+c] = X1+X221",2,0.114181560186873,0.103509048863823,TRUE,"[E|C+E:C+C|E]","0.001","Samples_018"
"[a] = X1|X221",1,NA,0.0471362370268519,TRUE,"[E|C]","0.002","Samples_018"
"[b]21",0,NA,0.0511115396217391,FALSE,"[E:C]","NA","Samples_018"
"[c] = X2|X121",1,NA,0.00526127221523187,TRUE,"[C|E]","0.171","Samples_018"
"[d] = Residuals21",NA,NA,0.896490951136177,FALSE,"Residuals","NA","Samples_018"
"[a+b] = X122",1,0.0379504909626554,0.0311754944201389,TRUE,"[E|C+E:C]","0.022","Samples_019"
"[b+c] = X222",1,0.0879004700905267,0.0814772339644038,TRUE,"[E:C+C|E]","0.001","Samples_019"
"[a+b+c] = X1+X222",2,0.0971888012202142,0.0843829686134087,TRUE,"[E|C+E:C+C|E]","0.003","Samples_019"
"[a] = X1|X222",1,NA,0.0029057346490049,TRUE,"[E|C]","0.235","Samples_019"
"[b]22",0,NA,0.028269759771134,FALSE,"[E:C]","NA","Samples_019"
"[c] = X2|X122",1,NA,0.0532074741932698,TRUE,"[C|E]","0.001","Samples_019"
"[d] = Residuals22",NA,NA,0.915617031386591,FALSE,"Residuals","NA","Samples_019"
"[a+b] = X123",1,0.224517268228641,0.214701031117611,TRUE,"[E|C+E:C]","0.001","Samples_020"
"[b+c] = X223",1,0.264389954623239,0.255078435061508,TRUE,"[E:C+C|E]","0.001","Samples_020"
"[a+b+c] = X1+X223",2,0.297759509964336,0.279753343553165,TRUE,"[E|C+E:C+C|E]","0.001","Samples_020"
"[a] = X1|X223",1,NA,0.0246749084916574,TRUE,"[E|C]","0.058","Samples_020"
"[b]23",0,NA,0.190026122625954,FALSE,"[E:C]","NA","Samples_020"
"[c] = X2|X123",1,NA,0.065052312435554,TRUE,"[C|E]","0.006","Samples_020"
"[d] = Residuals23",NA,NA,0.720246656446835,FALSE,"Residuals","NA","Samples_020"
"[a+b] = X124",1,0.0732503716939442,0.0583027970438464,TRUE,"[E|C+E:C]","0.032","Samples_021"
"[b+c] = X224",1,0.0939622135107487,0.0793487008254382,TRUE,"[E:C+C|E]","0.009","Samples_021"
"[a+b+c] = X1+X224",2,0.100333059798929,0.0708357830710249,TRUE,"[E|C+E:C+C|E]","0.044","Samples_021"
"[a] = X1|X224",1,NA,-0.00851291775441332,TRUE,"[E|C]","0.511","Samples_021"
"[b]24",0,NA,0.0668157147982598,FALSE,"[E:C]","NA","Samples_021"
"[c] = X2|X124",1,NA,0.0125329860271784,TRUE,"[C|E]","0.183","Samples_021"
"[d] = Residuals24",NA,NA,0.929164216928975,FALSE,"Residuals","NA","Samples_021"
"[a+b] = X125",1,0.205588815668115,0.204974896669404,TRUE,"[E|C+E:C]","0.001","Samples_022"
"[b+c] = X225",1,0.134100029877181,0.133430864521599,TRUE,"[E:C+C|E]","0.001","Samples_022"
"[a+b+c] = X1+X225",2,0.213999051149662,0.212783272419809,TRUE,"[E|C+E:C+C|E]","0.001","Samples_022"
"[a] = X1|X225",1,NA,0.0793524078982101,TRUE,"[E|C]","0.001","Samples_022"
"[b]25",0,NA,0.125622488771194,FALSE,"[E:C]","NA","Samples_022"
"[c] = X2|X125",1,NA,0.00780837575040449,TRUE,"[C|E]","0.002","Samples_022"
"[d] = Residuals25",NA,NA,0.787216727580191,FALSE,"Residuals","NA","Samples_022"
"[a+b] = X126",1,0.107668381083166,0.105975152204766,TRUE,"[E|C+E:C]","0.001","Samples_023"
"[b+c] = X226",1,0.0434550074775228,0.0416399315903833,TRUE,"[E:C+C|E]","0.001","Samples_023"
"[a+b+c] = X1+X226",2,0.108383710118975,0.104993534111823,TRUE,"[E|C+E:C+C|E]","0.001","Samples_023"
"[a] = X1|X226",1,NA,0.0633536025214396,TRUE,"[E|C]","0.001","Samples_023"
"[b]26",0,NA,0.0426215496833261,FALSE,"[E:C]","NA","Samples_023"
"[c] = X2|X126",1,NA,-0.000981618092942838,TRUE,"[C|E]","0.494","Samples_023"
"[d] = Residuals26",NA,NA,0.895006465888177,FALSE,"Residuals","NA","Samples_023"
"[a+b] = X127",1,0.0780569498308967,0.0765771054486029,TRUE,"[E|C+E:C]","0.001","Samples_024"
"[b+c] = X227",1,0.108083694189872,0.106652046829022,TRUE,"[E:C+C|E]","0.001","Samples_024"
"[a+b+c] = X1+X227",2,0.114996315442429,0.11215064443099,TRUE,"[E|C+E:C+C|E]","0.001","Samples_024"
"[a] = X1|X227",1,NA,0.00549859760196836,TRUE,"[E|C]","0.032","Samples_024"
"[b]27",0,NA,0.0710785078466345,FALSE,"[E:C]","NA","Samples_024"
"[c] = X2|X127",1,NA,0.0355735389823871,TRUE,"[C|E]","0.001","Samples_024"
"[d] = Residuals27",NA,NA,0.88784935556901,FALSE,"Residuals","NA","Samples_024"
"[a+b] = X128",1,0.141753404945385,0.140375802064078,TRUE,"[E|C+E:C]","0.001","Samples_025"
"[b+c] = X228",1,0.104839753868526,0.103402899540867,TRUE,"[E:C+C|E]","0.001","Samples_025"
"[a+b+c] = X1+X228",2,0.151128003056538,0.148398511104952,TRUE,"[E|C+E:C+C|E]","0.001","Samples_025"
"[a] = X1|X228",1,NA,0.0449956115640847,TRUE,"[E|C]","0.001","Samples_025"
"[b]28",0,NA,0.0953801904999931,FALSE,"[E:C]","NA","Samples_025"
"[c] = X2|X128",1,NA,0.00802270904087377,TRUE,"[C|E]","0.013","Samples_025"
"[d] = Residuals28",NA,NA,0.851601488895048,FALSE,"Residuals","NA","Samples_025"
